latitude	observed	estimated_richness	standard_error	lcl	ucl	abs_lat
-15.5944	563	1564.0005399795227	114.9478888242346	1338.7068177851088	1789.2942621739367	15.5944
-23.88	307	432.97915061633284	26.364775626648825	381.3051399276217	484.65316130504397	23.88
-33.6166	117	194.81463819199666	23.127140431541132	149.48627588077593	240.1430005032174	33.6166
-5.04883	499	725.0753623188406	30.333728977280803	665.6223460065712	784.52837863111	5.04883
12.4342	201	279.16654722904724	17.857265584268415	244.16694982151458	314.16614463657993	12.4342
23.8744	181	276.48369938229234	22.170344334581415	233.03062296166112	319.93677580292353	23.8744
38.0733	175	288.2925886755613	28.823620977369615	231.7993296558837	344.78584769523894	38.0733
43.0306	97	129.62911877394635	14.492609172266011	101.22412675429013	158.03411079360257	43.0306
7.756	602	915.0531517779	38.15368363636711	840.2733059730853	989.8329975827147	7.756
